filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-02_14-56-44-858878.mp4,02.02.2026,14h56m44s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-02_16-41-09-808333.mp4,02.02.2026,16h41m09s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-03_13-29-30-739433.mp4,03.02.2026,13h29m30s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-03_15-08-32-448627.mp4,03.02.2026,15h08m32s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-04_16-27-00-493633.mp4,04.02.2026,16h27m00s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-05_11-42-50-597700.mp4,05.02.2026,11h42m50s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-05_14-54-30-902125.mp4,05.02.2026,14h54m30s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-15/cyclesix/owl/2026-02-06_14-07-45-196151.mp4,06.02.2026,14h07m45s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-02_16-30-02-112799.mp4,02.02.2026,16h30m02s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-03_11-35-43-579009.mp4,03.02.2026,11h35m43s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-03_13-36-22-588129.mp4,03.02.2026,13h36m22s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-03_15-54-29-803479.mp4,03.02.2026,15h54m29s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-04_14-18-51-799628.mp4,04.02.2026,14h18m51s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-04_16-07-36-308693.mp4,04.02.2026,16h07m36s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-05_11-42-33-602833.mp4,05.02.2026,11h42m33s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-05_14-54-47-654522.mp4,05.02.2026,14h54m47s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-19/cyclesix/owl/2026-02-06_14-07-46-282174.mp4,06.02.2026,14h07m46s,,,
