filepath	readable_date	readable_time	status_website	login	submitted	tentativas	qualtrics	comments
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260205_145323.mp4	05.02.2026	14h53m23s	online	121	0	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-08/cyclesix/cyclesix_screen_20260212_114854.mp4	12.02.2026	11h48m54s	offline	0	0	0	0	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260202_144714.mp4	02.02.2026	14h47m14s	online	29	1	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260202_160116.mp4	02.02.2026	16h01m16s	62	62	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260203_111028.mp4	03.02.2026	11h10m28s	online	0003	1	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260203_144850.mp4	03.02.2026	14h48m50s	online	27	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260203_160459.mp4	03.02.2026	16h04m59s	online	70	0	2	1	filled out cyclesix calc twice after submit failed
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260204_094154.mp4	04.02.2026	09h41m54s	online	86	0	5	1	filled out cyclesix calc twice after submit failed
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260204_112240.mp4	04.02.2026	11h22m40s	online	6	0	1	1	used chatgpt for estimates
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260204_125320.mp4	04.02.2026	12h53m20s	online	15	1	2	do not use, filled out before cyclesix	do not use, filled out qualtrics before cyclesix
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260204_162952.mp4	04.02.2026	16h29m52s	online	85 after 45 didn't work	1	1	1	login 85 attributed after 45 didn't work
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260205_102851.mp4	05.02.2026	10h28m51s	online	93	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/cyclesix_screen_20260205_113045.mp4	05.02.2026	11h30m45s	online	94	1	1	1	
